Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.2,1100,1.276443
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.4,300,1.226183
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.4,700,1.227412
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.4,1100,1.270609
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.6,300,1.261008
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.6,700,1.235695
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.6,1100,1.203454
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.8,300,1.287757
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.8,700,1.249342
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.8,1100,1.175062
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.2,300,1.368388
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.2,700,1.357736
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.2,1100,1.115796
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.4,300,1.137848
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.4,700,1.064331
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.4,1100,1.048318
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.6,300,1.222459
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.6,700,1.192408
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.6,1100,1.191747
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.8,300,1.284553
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.8,700,1.265738
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.8,1100,1.21695
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.2,300,1.341704
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.2,700,1.366351
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.2,1100,1.378472
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.4,300,1.240973
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.4,700,1.259454
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.4,1100,1.301355
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.6,300,1.083844
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.6,700,1.299887
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.6,1100,1.184448
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.8,300,1.299215
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.8,700,1.324206
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.8,1100,1.282269
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.2,300,1.403324
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.2,700,1.24926
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.2,1100,1.245413
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.4,300,1.11671
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.4,700,1.207988
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.4,1100,1.009574
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.6,300,1.265285
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.6,700,1.240842
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.6,1100,1.177259
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.8,300,1.28804
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.8,700,1.281806
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.8,1100,1.243926
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.2,300,0.9990089
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.2,700,1.103876
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.2,1100,1.25313
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.4,300,1.273059
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.4,700,1.161897
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.4,1100,1.028229
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.6,300,1.262475
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.6,700,0.9848494
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.6,1100,1.117529
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.8,300,1.133168
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.8,700,1.203246
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.2,0.8,1100,1.211186
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.2,300,1.162452
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.2,700,1.029081
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.2,1100,0.9441323
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.4,300,1.23231
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.4,700,1.157155
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.4,1100,1.114765
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.6,300,1.072899
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.6,700,1.04345
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.6,1100,1.175221
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.8,300,1.221314
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.8,700,1.218717
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.4,0.8,1100,1.209066
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.2,300,0.9778895
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.2,700,1.136603
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.2,1100,1.14964
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.4,300,1.297889
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.4,700,1.179844
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.4,1100,1.161161
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.6,300,1.081904
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.6,700,1.040777
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.6,1100,1.044134
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.8,300,1.219635
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.8,700,1.237067
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.6,0.8,1100,1.240317
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.2,300,1.411726
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.2,700,1.113911
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.2,1100,1.132717
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.4,300,1.248403
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.4,700,1.145047
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.4,1100,1.138665
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.6,300,1.269268
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.6,700,1.022343
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.6,1100,1.071541
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.8,300,1.238605
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.8,700,1.200329
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,5,0.8,0.8,1100,1.220491
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.2,300,1.095702
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.2,700,1.169188
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.2,1100,1.033884
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.4,300,1.196028
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.4,700,0.9975628
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.4,1100,0.9695087
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.6,300,1.186174
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.6,700,0.9656438
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.6,1100,1.105509
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.8,300,1.171387
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.8,700,1.11621
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.2,0.8,1100,1.15323
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.2,300,1.072086
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.2,700,1.030054
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.2,1100,1.115359
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.4,300,1.194621
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.4,700,0.9852472
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.4,1100,1.172155
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.6,300,1.151045
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.6,700,1.036495
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.6,1100,1.132845
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,7,0.4,0.8,300,1.168605
