Cable Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.6,1100,1.633958
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.8,300,2.460321
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.8,700,2.091587
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.8,1100,1.787869
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.2,300,2.974566
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.2,700,2.500508
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.2,1100,2.560302
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.4,300,2.849506
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.4,700,2.782445
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.4,1100,2.864288
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.6,300,2.905003
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.6,700,2.743929
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.6,1100,2.906278
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.8,300,3.141417
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.8,700,2.857921
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.8,1100,2.552178
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.2,300,2.83141
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.2,700,2.462828
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.2,1100,2.59501
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.4,300,2.888109
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.4,700,2.869934
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.4,1100,2.685206
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.6,300,2.98366
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.6,700,2.681639
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.6,1100,2.944537
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.8,300,3.208346
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.8,700,2.841302
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.8,1100,2.55863
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.2,300,2.82042
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.2,700,2.552977
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.2,1100,2.480906
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.4,300,2.881848
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.4,700,2.821741
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.4,1100,2.705103
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.6,300,2.936766
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.6,700,2.625811
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.6,1100,2.859184
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.8,300,2.992818
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.8,700,2.873444
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.6,0.8,1100,2.55636
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.2,300,2.864858
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.2,700,2.635936
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.2,1100,2.593249
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.4,300,2.926654
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.4,700,2.851589
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.4,1100,2.83536
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.6,300,2.93187
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.6,700,2.911818
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.6,1100,2.889243
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.8,300,3.037439
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.8,700,2.868611
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.8,0.8,1100,2.554972
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.2,300,1.933693
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.2,700,1.694183
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.2,1100,1.67315
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.4,300,1.993503
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.4,700,1.851984
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.4,1100,1.889762
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.6,300,2.133678
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.6,700,2.002868
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.6,1100,1.999793
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.8,300,2.308643
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.8,700,2.181109
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.2,0.8,1100,1.95091
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.2,300,1.897715
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.2,700,1.690386
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.2,1100,1.656751
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.4,300,1.994937
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.4,700,1.855567
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.4,1100,1.880325
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.6,300,2.135025
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.6,700,1.992942
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,5,0.4,0.6,1100,1.987626
